Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Profile
M024,EPSG:32633,639195.5806531284,5290471.3214347605,161.738,,16.85717329,47.75257982,163.824,Global,0.013,0.012,0.019,0.018,2.086,m,FIX,2024-10-08 10:38:45.2 UTC+02:00,2024-10-08 10:38:50.4 UTC+02:00,27,1.2,1.3,,,,16.85631028,47.75041728,166.507,249.002,,Global CS,13,0,0,0,0,M024
M025,EPSG:32633,639174.2700735682,5290446.371647424,161.706,,16.85688113,47.75236005,163.792,Global,0.013,0.01,0.016,0.016,2.086,m,FIX,2024-10-08 10:41:17.6 UTC+02:00,2024-10-08 10:41:22.6 UTC+02:00,26,1.2,1.3,,,,16.85631028,47.75041728,166.507,220.22,,Global CS,12,0,0,0,0,M025
M026,EPSG:32633,639144.9038074783,5290437.670611292,161.70899999999997,,16.85648675,47.75228814,163.795,Global,0.011,0.01,0.016,0.015,2.086,m,FIX,2024-10-08 10:43:29.9 UTC+02:00,2024-10-08 10:43:35.1 UTC+02:00,27,1.1,1.3,,,,16.85631028,47.75041728,166.507,208.453,,Global CS,12,9,0,0,0,M026
M027,EPSG:32633,639134.7668647175,5290413.743023235,161.78699999999998,,16.85634392,47.75207515,163.873,Global,0.073,0.022,0.013,0.077,2.086,m,FIX,2024-10-08 10:46:08.0 UTC+02:00,2024-10-08 10:46:13.0 UTC+02:00,26,1.1,1.3,,,,16.85631028,47.75041728,166.507,184.331,,Global CS,12,0,0,0,0,M027
M028,EPSG:32633,639119.4003181593,5290394.518282409,161.88799999999998,,16.85613286,47.75190558,163.974,Global,0.012,0.014,0.012,0.019,2.086,m,FIX,2024-10-08 10:48:28.8 UTC+02:00,2024-10-08 10:48:34.0 UTC+02:00,27,1.2,1.3,,,,16.85631028,47.75041728,166.507,166.007,,Global CS,12,9,0,0,0,M028
M029,EPSG:32633,639101.1432377861,5290416.979641635,162.262,,16.85589659,47.75211151,164.348,Global,0.012,0.011,0.012,0.017,2.086,m,FIX,2024-10-08 10:50:42.8 UTC+02:00,2024-10-08 10:50:47.9 UTC+02:00,26,1.2,1.3,,,,16.85631028,47.75041728,166.507,190.903,,Global CS,12,9,0,0,0,M029
M030,EPSG:32633,639112.7788824856,5290439.959001164,161.97799999999998,,16.8560591,47.75231565,164.064,Global,0.01,0.012,0.012,0.016,2.086,m,FIX,2024-10-08 10:53:12.7 UTC+02:00,2024-10-08 10:53:17.9 UTC+02:00,27,1.1,1.2,,,,16.85631028,47.75041728,166.507,211.907,,Global CS,12,10,0,0,0,M030
M031,EPSG:32633,639126.7475032213,5290465.841064702,161.91899999999998,,16.85625365,47.75254539,164.005,Global,0.012,0.02,0.019,0.024,2.086,m,FLOAT,2024-10-08 10:55:41.7 UTC+02:00,2024-10-08 10:55:46.7 UTC+02:00,26,1.1,1.2,,,,16.85631028,47.75041728,166.507,236.66,,Global CS,11,10,0,0,0,M031
M032,EPSG:32633,639155.8641483198,5290470.595114602,161.83499999999998,,16.85664344,47.75258186,163.921,Global,0.011,0.011,0.012,0.015,2.086,m,FIX,2024-10-08 11:00:01.9 UTC+02:00,2024-10-08 11:00:06.9 UTC+02:00,26,1.2,1.3,,,,16.85631028,47.75041728,166.507,241.98,,Global CS,12,10,0,0,0,M032
M033,EPSG:32633,639172.6042020905,5290492.662942616,161.94,,16.85687373,47.7527767,164.026,Global,0.012,0.012,0.01,0.017,2.086,m,FIX,2024-10-08 11:02:45.5 UTC+02:00,2024-10-08 11:02:50.5 UTC+02:00,26,1.2,1.3,,,,16.85631028,47.75041728,166.507,265.725,,Global CS,12,10,0,0,0,M033
M034,EPSG:32633,639137.5626888983,5290493.721378014,162.04,,16.85640679,47.75279378,164.126,Global,0.015,0.019,0.017,0.024,2.086,m,FLOAT,2024-10-08 11:05:14.3 UTC+02:00,2024-10-08 11:05:19.5 UTC+02:00,27,1.2,1.4,,,,16.85631028,47.75041728,166.507,264.336,,Global CS,12,10,0,0,0,M034
M035,EPSG:32633,639122.5344587013,5290533.236957904,162.08999999999997,,16.85621903,47.75315238,164.176,Global,0.013,0.011,0.019,0.017,2.086,m,FLOAT,2024-10-08 11:07:50.5 UTC+02:00,2024-10-08 11:07:55.5 UTC+02:00,26,1.2,1.4,,,,16.85631028,47.75041728,166.507,304.194,,Global CS,12,10,0,0,0,M035
M036,EPSG:32633,639117.1842356627,5290577.111350024,161.88,,16.85616172,47.75354809,163.966,Global,0.01,0.013,0.011,0.017,2.086,m,FIX,2024-10-08 11:10:36.5 UTC+02:00,2024-10-08 11:10:41.5 UTC+02:00,26,1.2,1.4,,,,16.85631028,47.75041728,166.507,348.293,,Global CS,12,10,0,0,0,M036
